handle,title,displayTitle,category,price_from,variant_count,image_count,primary_image,vendor
print-by-order-abstract-paint-strokes-in-navy-blue-gold-teal-combination-velvet-fabric-140cm,"Print by order abstract paint strokes in navy blue gold teal combination velvet fabric 140cm","abstract paint strokes in navy blue gold teal",fabrics,35,1,3,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-7374.heic?v=1779627184,Lumina Hub
handmade-by-order-abstract-jade-green-paint-abstract-patch-pattern-rounded-rectangular-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-copy,"Handmade by order orange roses on black velvet pattern ROUNDED RECTANGULAR shape lamp shade pendant light lamp shade all shapes and sizes available","orange roses on black velvet pattern ROUNDED",rectangular,34.99,80,6,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IQVJE0761_1.jpg?v=1778263093,Lumina Hub
handmade-by-order-peacock-teal-blue-digital-flower-leaves-plant-pattern-on-velvet-rounded-rectangular-table-and-ceiling-lamp-shade-all-sizes,"Handmade by order multi rainbow coloured abstract feathers pattern velvet ROUNDED RECTANGULAR shape lamp shade pendant shade all sizes shapes available","multi rainbow coloured abstract feathers pattern velvet",rectangular,34.99,80,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/KWDFE3405.jpg?v=1778263490,Lumina Hub
handmade-by-order-multi-rainbow-coloured-abstract-feathers-pattern-velvet-rounded-rectangular-shape-lamp-shade-pendant-shade-all-sizes-shapes-available-copy,"Handmade by order luxury light blue moroccan geometric tile pattern ROUNDED RECTANGULAR  lamp shade pendant light lamp shade all shapes and size available","luxury light blue moroccan geometric tile pattern",rectangular,34.99,80,6,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/UGPAE2506.jpg?v=1778263376,Lumina Hub
handmade-by-order-luxury-black-gold-leaf-plant-tree-pattern-velvet-rounded-rectangular-shape-table-and-ceiling-lamp-shade-all-shapes-copy,"Handmade by order abstract jade green paint abstract patch pattern ROUNDED RECTANGULAR velvet lamp shade pendant light lamp shade all sizes and shapes","abstract jade green paint abstract patch pattern",rectangular,34.99,80,6,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/TIQUE5517.jpg?v=1778264069,Lumina Hub
handmade-by-order-abstract-jade-green-paint-abstract-patch-pattern-drum-velvet-lamp-shade-pendant-light-lamp-shade-all-sizes-and-shapes-copy,"Handmade by order orange roses on black velvet pattern drum shape lamp shade pendant light lamp shade all shapes and sizes available","orange roses on black velvet pattern drum shape lamp",drum,24.99,250,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6693.jpg?v=1778162118,Lumina Hub
handmade-by-order-luxury-light-blue-moroccan-geometric-tile-pattern-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-and-size-available-copy,"Handmade by order abstract jade green paint abstract patch pattern drum velvet lamp shade pendant light lamp shade all sizes and shapes","abstract jade green paint abstract patch pattern drum",drum,24.99,250,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6690.jpg?v=1778161762,Lumina Hub
handmade-by-order-multicoloured-rainbow-coloured-abstract-feather-pattern-velvet-drum-shape-lamp-shade-pendant-shade-all-sizes-shapes-copy,"Handmade by order luxury light blue moroccan geometric tile pattern DRUM lamp shade pendant light lamp shade all shapes and size available","luxury light blue moroccan geometric tile pattern DRUM",drum,24.99,250,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6695.jpg?v=1778161809,Lumina Hub
handmade-by-order-teal-green-blue-pixel-texture-abstract-art-design-print-on-velvet-drum-lamp-shade-pendant-light-lamp-shade-all-shapes-size-copy,"Handmade by order multicoloured rainbow coloured abstract feather pattern velvet drum shape lamp shade pendant shade all sizes shapes","multicoloured rainbow coloured abstract feather pattern",drum,24.99,250,7,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6692.jpg?v=1778161842,Lumina Hub
circular-drum-lamp-shade-kits-20cm-diameter-x-18cm-height-with-golden-ring-and-golden-lining,"Circular drum lamp shade kits 20cm diameter x 18cm height with golden ring and golden lining","Circular drum lamp shade kits 20cm diameter x 18cm",lampshade-kits,30,1,2,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/FullSizeRender_62cf3480-4ec1-4cf7-9243-ae7120b50744.jpg?v=1778153013,Lumina Hub
circular-drum-lamp-shade-kits-30cm-diameter-x-21cm-height-with-golden-ring-and-golden-lining,"Circular drum lamp shade kits 30cm diameter x 21cm height with golden ring and golden lining","Circular drum lamp shade kits 30cm diameter x 21cm",lampshade-kits,39.99,1,2,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/FullSizeRender_62cf3480-4ec1-4cf7-9243-ae7120b50744.jpg?v=1778153013,Lumina Hub
circular-drum-lamp-shade-kits-25cm-diameter-x-21cm-height-with-golden-ring-and-golden-lining,"Circular drum lamp shade kits 25cm diameter x 21cm height with golden ring and golden lining","Circular drum lamp shade kits 25cm diameter x 21cm",lampshade-kits,35,1,2,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/FullSizeRender_62cf3480-4ec1-4cf7-9243-ae7120b50744.jpg?v=1778153013,Lumina Hub
circular-drum-lamp-shade-kits-15cm-diameter-x-15cm-height-with-golden-ring-and-golden-lining,"Circular drum lamp shade kits 15cm diameter x 15cm height with golden ring and golden lining","Circular drum lamp shade kits 15cm diameter x 15cm",lampshade-kits,24.99,1,2,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/FullSizeRender_62cf3480-4ec1-4cf7-9243-ae7120b50744.jpg?v=1778153013,Lumina Hub
handmade-by-order-luxury-black-gold-large-monstera-leaf-plant-tree-pattern-velvet-rounded-rectangular-shape-table-and-ceiling-lamp-shade,"Handmade by order luxury black gold large monstera leaf plant tree pattern velvet Rounded RECTANGULAR shape table and ceiling lamp shade","luxury black gold large monstera leaf plant tree",rectangular,34.99,80,5,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6569.png?v=1778002024,Lumina Hub
handmade-by-order-luxury-abstract-wave-pattern-multicoloured-on-velvet-rounded-rectangular-lamp-shade-pendant-light-shade-all-shapes-and-sizes-copy,"Handmade by order luxury black gold leaf plant tree pattern velvet Rounded RECTANGULAR shape table and ceiling lamp shade all shapes","luxury black gold leaf plant tree pattern velvet",rectangular,34.99,80,5,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6627.png?v=1778013740,Lumina Hub
handmade-by-order-luxury-pink-teal-blue-leopard-skin-dots-on-velvet-rounded-rectangular-lamp-shade-pendant-light-lamp-shade-all-shapes-and-s-copy,"Handmade by order luxury abstract wave pattern multicoloured on velvet rounded rectangular lamp shade pendant light shade all shapes and sizes","luxury abstract wave pattern multicoloured on velvet",rectangular,34.99,80,5,https://cdn.shopify.com/s/files/1/0926/4408/2042/files/IMG-6549.png?v=1777918745,Lumina Hub
